Device,Brand,Age_Months,Daily_Usage_Hours,Usage_Type,Failure_After_Months,Symptom1,Symptom2,Symptom3,Severity,Faulty_Component,Recommended_Solution,Estimated_Repair_Cost_INR,Estimated_Repair_Time_Hours
Laptop,Acer,68,2,Remote Worker,62,Thermal Throttling,Loud Fan,Heating,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,1800,1.4
Desktop,Lenovo,78,6,Remote Worker,71,Thermal Warning,Loud Noise,Heating,High,CPU Fan,Step 1: Power off and unplug the system; Step 2: Open the cabinet and clean dust from the CPU fan and heatsink; Step 3: Check fan rotation manually and listen for bearing noise; Step 4: Reapply thermal paste on the CPU if it has dried out; Step 5: Replace the CPU fan if it does not spin freely or is noisy after cleaning.,900,1.8
Mobile,Google,9,9,Student,1,Lines On Screen,Display Lag,Power ON,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,5450,2.0
Mobile,Google,45,2,Developer,35,Flickering Screen,Lines On Screen,Touch OK,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,4900,2.5
Mobile,Oppo,72,12,Student,64,Charging Stops Randomly,Overheating,Slow Charging,High,Charging IC,Step 1: Test with a different cable and charger to rule out accessories; Step 2: Clean the charging port of dust/lint; Step 3: Restart the device and check for charging software glitch; Step 4: Check for overheating during charging attempts; Step 5: Replace the charging IC at a service center if hardware fault is confirmed.,1450,1.4
Desktop,Dell,9,5,Developer,6,Bad Sectors,File Corruption,Slow Startup,High,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,2850,1.9
Laptop,Lenovo,39,9,Normal,31,POST Failure,Beep Sound,Power ON,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",1950,2.4
Mobile,Oppo,3,4,Gaming,1,Charging Failure,Heating,Random Restart,High,Charging IC,Step 1: Test with a different cable and charger to rule out accessories; Step 2: Clean the charging port of dust/lint; Step 3: Restart the device and check for charging software glitch; Step 4: Check for overheating during charging attempts; Step 5: Replace the charging IC at a service center if hardware fault is confirmed.,2500,1.5
Desktop,Asus,61,12,Student,57,Restart Issues,Power Failure,No Boot,High,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,3700,1.9
Desktop,Dell,27,10,Content Creator,17,System Off Suddenly,Burn Smell,Power Loss,High,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,3550,1.1
Mobile,Vivo,63,2,Developer,62,Screen Flicker,System Running,External Monitor OK,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,7100,2.6
Mobile,Google,81,6,Office,76,No Display,Touch Working,Notifications Audible,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,2900,3.0
Desktop,Acer,29,4,Remote Worker,28,Peripheral Failure,Boot Error,Power ON,High,Motherboard,"Step 1: Disconnect all peripherals and power cables; Step 2: Inspect for bulging/burnt capacitors and burning smell; Step 3: Reset CMOS using the jumper or by removing the battery; Step 4: Reseat RAM and GPU to rule out connection issues; Step 5: If no POST persists, the motherboard likely needs professional repair or replacement.",8150,2.4
Mobile,Oppo,67,7,Student,57,Sudden Power Off,Battery Swelling,Heating,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",3400,1.7
Laptop,MSI,66,5,Remote Worker,58,Charging Failure,Adapter Fault,Power Fluctuation,Low,Charger,Step 1: Inspect the charger cable and adapter for visible damage; Step 2: Check the wall socket with another device; Step 3: Clean the charging port of dust/debris; Step 4: Test with a different compatible charger/adapter; Step 5: Replace the charger if output voltage is incorrect or it overheats.,1250,1.1
Desktop,Lenovo,62,9,Normal,60,Bad Sectors,File Corruption,Slow Startup,Medium,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,3500,2.9
Desktop,Asus,60,9,Student,59,Random Restart,Memory Warning,System Freeze,Low,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",3650,2.0
Laptop,Asus,75,6,Business,66,Camera Not Detected,Blurry Image,Black Screen,Low,Webcam,Step 1: Check camera privacy settings and app permissions; Step 2: Update or reinstall the webcam drivers; Step 3: Test the webcam in a different application; Step 4: Check the internal camera cable connection if accessible; Step 5: Replace the webcam module if not detected after driver reinstall.,1200,1.1
Mobile,Oppo,11,7,Gaming,4,Sudden Power Off,Battery Swelling,Heating,Medium,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",1550,2.0
Mobile,Xiaomi,24,4,Student,24,Charging Failure,Heating,Random Restart,High,Charging IC,Step 1: Test with a different cable and charger to rule out accessories; Step 2: Clean the charging port of dust/lint; Step 3: Restart the device and check for charging software glitch; Step 4: Check for overheating during charging attempts; Step 5: Replace the charging IC at a service center if hardware fault is confirmed.,2450,1.1
Mobile,OnePlus,42,5,Student,38,Bluetooth Not Pairing,WiFi Drops,Connectivity Error,Low,WiFi Bluetooth Module,Step 1: Toggle airplane mode on/off to reset radios; Step 2: Forget and re-pair the Bluetooth device / re-join WiFi network; Step 3: Update device software to latest version; Step 4: Reset network settings to factory defaults; Step 5: Replace the WiFi/Bluetooth combo module if issues persist after reset.,900,1.5
Mobile,Apple,34,11,Developer,34,No Charge,Adapter OK,Battery Healthy,High,Charging IC,Step 1: Test with a different cable and charger to rule out accessories; Step 2: Clean the charging port of dust/lint; Step 3: Restart the device and check for charging software glitch; Step 4: Check for overheating during charging attempts; Step 5: Replace the charging IC at a service center if hardware fault is confirmed.,1500,2.5
Laptop,MSI,20,5,Business,17,Rapid Discharge,Heating,Low Backup,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",1900,1.6
Desktop,Custom Build,57,4,Normal,56,File Corruption,Boot Failure,Disk Warning,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,2850,2.7
Laptop,MSI,59,7,Office,55,Storage Not Detected,Boot Failure,BIOS Error,Medium,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,4700,2.9
Desktop,Acer,24,13,Business,21,High Temperature,Fan Error,Shutdown,Medium,CPU Fan,Step 1: Power off and unplug the system; Step 2: Open the cabinet and clean dust from the CPU fan and heatsink; Step 3: Check fan rotation manually and listen for bearing noise; Step 4: Reapply thermal paste on the CPU if it has dried out; Step 5: Replace the CPU fan if it does not spin freely or is noisy after cleaning.,300,2.3
Mobile,Apple,94,3,Content Creator,90,Camera Not Focusing,Dark Images,Lens Error,Medium,Camera Module,Step 1: Clean the camera lens of smudges or dust; Step 2: Force-close and reopen the camera app; Step 3: Check for pending software updates; Step 4: Restart the device to clear temporary camera service errors; Step 5: Replace the camera module if blur/focus issues continue after cleaning.,3500,2.1
Desktop,Dell,15,9,Office,7,Wrong Date Time,BIOS Reset,Boot Delay,Medium,CMOS Battery,Step 1: Power off the system and unplug from the mains; Step 2: Open the cabinet and locate the CMOS coin-cell battery; Step 3: Remove and test battery voltage (should be ~3V); Step 4: Replace the CMOS battery with a new CR2032 cell; Step 5: Reset BIOS settings and set the correct date/time.,250,1.3
Desktop,Lenovo,84,10,Developer,81,Grinding Noise,Frequent Freeze,Disk Health Alert,High,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,1400,3.2
Mobile,Oppo,79,7,Office,70,Cable Moves Loosely,Charging Stops,Slow Charging,Medium,Charging Port,"Step 1: Inspect the charging port for lint, dust, or debris and clean gently; Step 2: Check for bent or damaged pins inside the port; Step 3: Try a different cable to confirm port vs cable issue; Step 4: Wiggle test the cable while charging to detect loose connection; Step 5: Replace the charging port assembly if connection remains loose.",700,1.0
Mobile,OnePlus,47,2,Developer,42,Charging Stops Randomly,Overheating,Slow Charging,High,Charging IC,Step 1: Test with a different cable and charger to rule out accessories; Step 2: Clean the charging port of dust/lint; Step 3: Restart the device and check for charging software glitch; Step 4: Check for overheating during charging attempts; Step 5: Replace the charging IC at a service center if hardware fault is confirmed.,1900,1.0
Laptop,MSI,14,8,Business,13,No Charge,Battery OK,Power Adapter Error,Medium,Charger,Step 1: Inspect the charger cable and adapter for visible damage; Step 2: Check the wall socket with another device; Step 3: Clean the charging port of dust/debris; Step 4: Test with a different compatible charger/adapter; Step 5: Replace the charger if output voltage is incorrect or it overheats.,900,1.3
Mobile,OnePlus,6,4,Business,3,No Display,Touch Working,Notifications Audible,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,3450,1.8
Laptop,Acer,75,3,Student,65,Thermal Throttling,Loud Fan,Heating,Low,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,800,1.3
Laptop,Dell,69,13,Content Creator,60,Hinge Stuck,Difficult To Open,Screen Misalignment,Medium,Hinge,Step 1: Inspect hinge alignment and screws for looseness; Step 2: Tighten visible hinge screws carefully; Step 3: Check for cracks in the hinge housing/plastic; Step 4: Apply light lubrication if movement is stiff; Step 5: Replace the hinge assembly if cracked or completely loose.,1350,1.4
Laptop,MSI,5,13,Office,1,Application Lag,Disk Warning,Slow Performance,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,3650,3.0
Mobile,Samsung,71,9,Gaming,67,No Vibration,Silent Notifications,Haptic Failure,Low,Vibration Motor,"Step 1: Check vibration settings are enabled in system settings; Step 2: Restart the device to rule out software glitch; Step 3: Test vibration in multiple apps (calls, notifications, keyboard); Step 4: Check for physical damage from drops; Step 5: Replace the vibration motor if it produces no haptic feedback.",1100,1.3
Mobile,Xiaomi,49,12,Student,48,Auto Brightness Fails,Sensor Not Responding,Display Glitch,Medium,Proximity Sensor,Step 1: Remove any screen protector or case blocking the sensor; Step 2: Clean the sensor area near the top of the screen; Step 3: Test sensor calibration using a diagnostic app; Step 4: Restart the device to reset sensor drivers; Step 5: Replace the proximity sensor module if it remains unresponsive.,1250,1.4
Mobile,Vivo,4,8,Student,2,No Display,External Monitor Works,Power ON,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,3300,2.4
Mobile,Oppo,71,7,Student,67,Camera Not Focusing,Dark Images,Lens Error,High,Camera Module,Step 1: Clean the camera lens of smudges or dust; Step 2: Force-close and reopen the camera app; Step 3: Check for pending software updates; Step 4: Restart the device to clear temporary camera service errors; Step 5: Replace the camera module if blur/focus issues continue after cleaning.,1950,2.1
Desktop,Dell,46,12,Remote Worker,42,Random Crashes,Blue Screen,Memory Warning,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",2600,2.3
Mobile,Realme,33,5,Gaming,26,Delayed Touch Response,Random Taps,Screen Freeze,Medium,Touch Screen Digitizer,Step 1: Clean the screen and remove any screen protector causing interference; Step 2: Restart the device to rule out a software freeze; Step 3: Test touch response in safe mode; Step 4: Check for physical screen damage near unresponsive areas; Step 5: Replace the touch digitizer if ghost touch continues after restart.,2550,1.7
Desktop,MSI,49,15,Content Creator,43,System Off Suddenly,Burn Smell,Power Loss,High,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,2750,1.1
Mobile,Google,85,9,Normal,79,Battery Drain,Low Backup,Not Charging,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",2250,1.2
Laptop,Dell,37,7,Developer,28,Frequent Freezing,Read Write Error,Disk Warning,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,1650,3.2
Desktop,MSI,33,11,Content Creator,31,Random Restart,Memory Warning,System Freeze,Low,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",1600,2.1
Mobile,Samsung,71,6,Normal,65,Crackling Sound,Media Playback Issue,Calls OK,Low,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,1500,1.1
Desktop,Custom Build,88,11,Student,85,Slow Startup,Disk Errors,Storage Not Detected,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,4400,2.3
Desktop,Dell,76,16,Business,72,Slow Startup,Disk Errors,Storage Not Detected,Medium,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,5300,1.6
Mobile,Oppo,22,3,Gaming,17,Screen Flicker,System Running,External Monitor OK,Medium,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,8050,1.3
Desktop,Acer,89,10,Content Creator,81,Disk Not Detected,Boot Failure,BIOS Error,Medium,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,2500,3.3
Laptop,Dell,88,10,Gaming,88,Rapid Discharge,Heating,Low Backup,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",3450,1.9
Desktop,Asus,10,5,Gaming,1,Random Restart,Capacitor Bulge,Short Circuit,Medium,Motherboard,"Step 1: Disconnect all peripherals and power cables; Step 2: Inspect for bulging/burnt capacitors and burning smell; Step 3: Reset CMOS using the jumper or by removing the battery; Step 4: Reseat RAM and GPU to rule out connection issues; Step 5: If no POST persists, the motherboard likely needs professional repair or replacement.",2550,2.4
Laptop,HP,82,4,Content Creator,77,No Sound,Calls OK,Headphones Work,Low,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,1250,1.0
Laptop,Apple,55,6,Gaming,53,Slow Startup,Disk Errors,File Corruption,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,4600,1.1
Laptop,MSI,67,1,Office,66,Overheating,Fan Noise,Auto Shutdown,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,700,1.4
Laptop,Dell,47,3,Gaming,43,Slow Startup,Disk Errors,File Corruption,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,6000,1.5
Mobile,Google,53,5,Developer,46,Slow WiFi,Bluetooth Disconnects,Signal Weak,High,WiFi Bluetooth Module,Step 1: Toggle airplane mode on/off to reset radios; Step 2: Forget and re-pair the Bluetooth device / re-join WiFi network; Step 3: Update device software to latest version; Step 4: Reset network settings to factory defaults; Step 5: Replace the WiFi/Bluetooth combo module if issues persist after reset.,1850,2.2
Mobile,Xiaomi,3,10,Normal,3,Touch Not Responding,Ghost Touch,Unresponsive Areas,High,Touch Screen Digitizer,Step 1: Clean the screen and remove any screen protector causing interference; Step 2: Restart the device to rule out a software freeze; Step 3: Test touch response in safe mode; Step 4: Check for physical screen damage near unresponsive areas; Step 5: Replace the touch digitizer if ghost touch continues after restart.,4150,2.5
Desktop,Acer,41,1,Remote Worker,34,Graphic Distortion,Random Freeze,High GPU Temp,High,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",4700,2.3
Mobile,Oppo,21,9,Remote Worker,13,No Charge,Adapter OK,Battery Healthy,Medium,Charging IC,Step 1: Test with a different cable and charger to rule out accessories; Step 2: Clean the charging port of dust/lint; Step 3: Restart the device and check for charging software glitch; Step 4: Check for overheating during charging attempts; Step 5: Replace the charging IC at a service center if hardware fault is confirmed.,3350,1.1
Laptop,HP,66,8,Normal,61,File Corruption,Boot Failure,Disk Warning,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,5650,1.3
Desktop,Custom Build,22,5,Content Creator,20,CPU Throttling,Grinding Noise,System Lag,High,CPU Fan,Step 1: Power off and unplug the system; Step 2: Open the cabinet and clean dust from the CPU fan and heatsink; Step 3: Check fan rotation manually and listen for bearing noise; Step 4: Reapply thermal paste on the CPU if it has dried out; Step 5: Replace the CPU fan if it does not spin freely or is noisy after cleaning.,1050,1.7
Laptop,Asus,10,11,Gaming,5,Battery Drain,Low Backup,Not Charging,Medium,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",2400,1.5
Desktop,MSI,63,12,Content Creator,63,Game Crashes,Visual Glitches,High GPU Temp,High,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",7650,2.0
