Device,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Symptom1,Symptom2,Symptom3,Faulty_Component
Desktop,73,16,73,Normal,No Display,Artifacts,System Running,GPU
Laptop,55,3,54,Normal,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Desktop,83,5,83,Business,Long Loading Time,Disk Health Alert,Lagging,SSD
Mobile,12,12,6,Office,No Display,Touch Working,Notifications Audible,Display
Laptop,21,9,20,Business,Application Lag,Disk Warning,Slow Performance,SSD
Mobile,17,3,15,Gaming,Fast Battery Drain,Heating,Random Shutdown,Battery
Laptop,78,12,71,Developer,Application Lag,Disk Warning,Slow Performance,SSD
Mobile,70,11,64,Student,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Laptop,18,4,12,Student,Boot Loop,Memory Error,Beep Code,RAM
Mobile,84,1,83,Business,No Charge,Adapter OK,Battery Healthy,Charging IC
Desktop,72,9,64,Gaming,Thermal Warning,Loud Noise,Heating,CPU Fan
Desktop,64,2,58,Developer,Random Restart,Memory Warning,System Freeze,RAM
Mobile,6,15,6,Gaming,Voice Not Reaching,Calls Connected,Speaker OK,Microphone
Mobile,9,13,8,Business,No Charge,Adapter OK,Battery Healthy,Charging IC
Desktop,39,5,38,Normal,Thermal Warning,Loud Noise,Heating,CPU Fan
Mobile,38,8,36,Student,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Mobile,79,9,79,Developer,Distorted Audio,Low Volume,Calls OK,Speaker
Desktop,22,5,20,Developer,File Corruption,Boot Failure,Disk Warning,SSD
Desktop,66,4,64,Developer,USB Failure,Random Freeze,No POST,Motherboard
Mobile,80,2,79,Student,Not Charging,Adapter OK,Cable OK,Charging Port
Desktop,10,15,5,Gaming,No Boot,Beep Code,Memory Error,RAM
Desktop,53,4,49,Office,System Off Suddenly,Burn Smell,Power Loss,PSU
Desktop,70,7,63,Student,Random Shutdown,No Power,Power Fluctuation,PSU
Desktop,63,6,58,Gaming,Thermal Warning,Loud Noise,Heating,CPU Fan
Desktop,41,8,41,Normal,Restart Issues,Power Failure,No Boot,PSU
Desktop,24,2,18,Student,Long Loading Time,Disk Health Alert,Lagging,SSD
Desktop,25,2,21,Developer,POST Failure,Beep Sound,Power ON,RAM
Laptop,35,9,32,Normal,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Desktop,6,12,1,Normal,POST Failure,Beep Sound,Power ON,RAM
Mobile,30,10,26,Normal,Not Charging,Adapter OK,Cable OK,Charging Port
Mobile,73,14,71,Office,No Charge,Adapter OK,Battery Healthy,Charging IC
Desktop,51,5,46,Normal,Long Loading Time,Disk Health Alert,Lagging,SSD
Mobile,62,9,56,Business,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Desktop,14,5,11,Normal,USB Failure,Random Freeze,No POST,Motherboard
Desktop,48,7,46,Student,Slow Startup,Disk Errors,Storage Not Detected,SSD
Desktop,55,1,49,Student,Random Restart,Memory Warning,System Freeze,RAM
Mobile,48,8,45,Office,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Mobile,16,10,8,Gaming,No Display,Touch Working,Notifications Audible,Display
Desktop,75,6,70,Office,POST Failure,Beep Sound,Power ON,RAM
Mobile,27,8,25,Gaming,Voice Not Reaching,Calls Connected,Speaker OK,Microphone
Laptop,75,16,70,Business,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Laptop,11,16,6,Developer,Rapid Discharge,Heating,Low Backup,Battery
Mobile,43,7,38,Office,Charging Failure,Heating,Random Restart,Charging IC
Desktop,77,14,69,Student,Long Loading Time,Disk Health Alert,Lagging,SSD
Laptop,47,1,44,Business,Boot Loop,Memory Error,Beep Code,RAM
Laptop,41,13,36,Office,Screen Flicker,System Running,External Monitor OK,Display
Desktop,56,13,50,Student,High Temperature,Fan Error,Shutdown,CPU Fan
Mobile,29,3,24,Gaming,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Mobile,27,12,23,Normal,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Mobile,80,7,72,Business,Crackling Sound,Media Playback Issue,Calls OK,Speaker
Laptop,17,1,10,Normal,Lines On Screen,Display Lag,Power ON,Display
Desktop,20,5,16,Normal,Game Crashes,Visual Glitches,High GPU Temp,GPU
Desktop,60,1,55,Office,Restart Issues,Power Failure,No Boot,PSU
Mobile,44,2,40,Gaming,Charging Failure,Heating,Random Restart,Charging IC
Mobile,23,9,21,Developer,Not Charging,Adapter OK,Cable OK,Charging Port
Mobile,73,10,70,Developer,No Display,Touch Working,Notifications Audible,Display
Laptop,18,14,12,Developer,Rapid Discharge,Heating,Low Backup,Battery
Laptop,45,13,40,Gaming,No Charge,Battery OK,Power Adapter Error,Charger
Mobile,84,9,82,Gaming,Charging Failure,Heating,Random Restart,Charging IC
Laptop,49,12,42,Gaming,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Mobile,6,10,5,Developer,Fast Battery Drain,Heating,Random Shutdown,Battery
Desktop,9,12,3,Office,Restart Issues,Power Failure,No Boot,PSU
Mobile,23,6,22,Gaming,Battery Drops Quickly,Overheating,Lagging,Battery
Desktop,6,14,5,Business,Slow Startup,Disk Errors,Storage Not Detected,SSD
Desktop,48,14,46,Office,Random Shutdown,No Power,Power Fluctuation,PSU
Desktop,80,3,76,Office,Long Loading Time,Disk Health Alert,Lagging,SSD
Mobile,67,4,64,Business,Flickering Screen,Lines On Screen,Touch OK,Display
Desktop,14,5,8,Developer,POST Failure,Beep Sound,Power ON,RAM
Desktop,77,3,69,Gaming,Slow Startup,Disk Errors,Storage Not Detected,SSD
Desktop,31,6,26,Office,Restart Issues,Power Failure,No Boot,PSU
Mobile,77,11,75,Student,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Laptop,22,1,16,Normal,Battery Drain,Low Backup,Not Charging,Battery
Laptop,34,16,34,Developer,Screen Flicker,System Running,External Monitor OK,Display
Mobile,79,3,75,Student,Fast Battery Drain,Heating,Random Shutdown,Battery
Desktop,83,5,78,Developer,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Laptop,47,2,41,Gaming,Slow Startup,Disk Errors,File Corruption,SSD
Laptop,52,13,51,Gaming,Random Crashes,Blue Screen,Memory Warning,RAM
Desktop,18,14,13,Business,Screen Flicker,Driver Crashes,Artifacts,GPU
Mobile,39,13,34,Developer,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Laptop,59,12,56,Gaming,Slow Startup,Disk Errors,File Corruption,SSD
Laptop,60,7,59,Developer,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Desktop,78,13,76,Normal,No POST,Power LED ON,No Boot,Motherboard
Mobile,49,4,49,Office,No Charge,Adapter OK,Battery Healthy,Charging IC
Mobile,20,14,13,Office,Distorted Audio,Low Volume,Calls OK,Speaker
Laptop,30,4,22,Developer,Boot Loop,Memory Error,Beep Code,RAM
Desktop,44,1,42,Gaming,Screen Flicker,Driver Crashes,Artifacts,GPU
Laptop,54,1,46,Business,Random Crashes,Blue Screen,Memory Warning,RAM
Laptop,19,4,12,Normal,Battery Drain,Low Backup,Not Charging,Battery
Mobile,55,7,49,Student,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Desktop,6,5,6,Normal,No Boot,Beep Code,Memory Error,RAM
Mobile,41,8,33,Business,Distorted Audio,Low Volume,Calls OK,Speaker
Laptop,72,7,64,Student,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Laptop,35,16,34,Business,No Boot,Beep Sound,Power LED ON,RAM
Desktop,18,1,18,Developer,Long Loading Time,Disk Health Alert,Lagging,SSD
Desktop,64,9,61,Business,Game Crashes,Visual Glitches,High GPU Temp,GPU
Mobile,63,10,58,Office,Fast Battery Drain,Heating,Random Shutdown,Battery
Mobile,61,2,54,Student,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Laptop,84,12,80,Normal,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Desktop,13,4,11,Developer,Restart Issues,Power Failure,No Boot,PSU
Desktop,37,9,31,Student,Game Crashes,Visual Glitches,High GPU Temp,GPU
Desktop,77,13,76,Developer,Slow Startup,Disk Errors,Storage Not Detected,SSD
Mobile,31,7,28,Gaming,Not Charging,Cable OK,Battery OK,Charging IC
Desktop,17,4,9,Gaming,Thermal Warning,Loud Noise,Heating,CPU Fan
Desktop,26,7,26,Gaming,Game Crashes,Visual Glitches,High GPU Temp,GPU
Desktop,62,1,58,Normal,POST Failure,Beep Sound,Power ON,RAM
Desktop,60,4,55,Normal,Random Restart,Memory Warning,System Freeze,RAM
Desktop,82,15,75,Student,Game Crashes,Visual Glitches,High GPU Temp,GPU
Mobile,50,13,47,Business,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Mobile,53,13,45,Developer,Battery Drops Quickly,Overheating,Lagging,Battery
Desktop,77,6,71,Student,Game Crashes,Visual Glitches,High GPU Temp,GPU
Desktop,80,2,72,Developer,Random Shutdown,No Power,Power Fluctuation,PSU
Desktop,28,14,23,Developer,Screen Flicker,Driver Crashes,Artifacts,GPU
Desktop,61,13,57,Student,System Off Suddenly,Burn Smell,Power Loss,PSU
Desktop,19,16,14,Business,No Display,Artifacts,System Running,GPU
Mobile,78,15,75,Business,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Mobile,9,14,4,Office,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Mobile,30,11,28,Business,Crackling Sound,Media Playback Issue,Calls OK,Speaker
Laptop,57,16,50,Gaming,Random Crashes,Blue Screen,Memory Warning,RAM
Desktop,11,6,8,Student,No Boot,Beep Code,Memory Error,RAM
Desktop,82,4,75,Developer,Random Shutdown,No Power,Power Fluctuation,PSU
Desktop,29,2,22,Business,Peripheral Failure,Boot Error,Power ON,Motherboard
Mobile,49,15,47,Normal,Poor Backup,Battery Swelling,Heating,Battery
Mobile,79,6,71,Office,Distorted Audio,Low Volume,Calls OK,Speaker
Laptop,38,9,35,Office,No Display,External Monitor Works,Power ON,Display
Desktop,42,14,41,Gaming,Screen Flicker,Driver Crashes,Artifacts,GPU
Desktop,17,10,12,Normal,Random Restart,Memory Warning,System Freeze,RAM
Desktop,37,14,35,Student,Random Shutdown,No Power,Power Fluctuation,PSU
Mobile,60,14,59,Normal,Black Screen,Phone Vibrates,Calls Received,Display
Laptop,36,11,30,Developer,No Boot,Beep Sound,Power LED ON,RAM
Laptop,62,10,59,Normal,Slow Startup,Disk Errors,File Corruption,SSD
Mobile,44,7,43,Student,Poor Backup,Battery Swelling,Heating,Battery
Mobile,37,11,30,Student,No Display,Touch Working,Notifications Audible,Display
Desktop,58,9,58,Developer,Long Loading Time,Disk Health Alert,Lagging,SSD
Laptop,36,12,35,Student,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Laptop,9,14,6,Gaming,Boot Loop,Memory Error,Beep Code,RAM
Mobile,71,10,65,Developer,Not Charging,Cable OK,Battery OK,Charging IC
Desktop,31,7,31,Office,POST Failure,Beep Sound,Power ON,RAM
Laptop,39,9,38,Developer,Storage Not Detected,Boot Failure,BIOS Error,SSD
Desktop,26,4,24,Student,Slow Startup,Disk Errors,Storage Not Detected,SSD
Laptop,61,8,55,Developer,Portable Use Failure,Battery Low,Charger OK,Battery
Desktop,46,12,46,Office,No POST,Power LED ON,No Boot,Motherboard
Mobile,70,3,63,Developer,Battery Drops Quickly,Overheating,Lagging,Battery
Desktop,58,11,52,Developer,USB Failure,Random Freeze,No POST,Motherboard
Laptop,66,4,65,Student,No Charge,Battery OK,Power Adapter Error,Charger
Mobile,22,16,20,Business,Not Charging,Cable OK,Battery OK,Charging IC
Mobile,28,16,22,Gaming,Fast Battery Drain,Heating,Random Shutdown,Battery
Laptop,18,1,11,Normal,No Boot,Beep Sound,Power LED ON,RAM
Mobile,26,1,25,Developer,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Desktop,58,6,55,Business,No Display,Artifacts,System Running,GPU
Laptop,49,9,46,Business,Lines On Screen,Display Lag,Power ON,Display
Desktop,76,4,69,Developer,Slow Startup,Disk Errors,Storage Not Detected,SSD
Laptop,32,10,31,Gaming,Slow Startup,Disk Errors,File Corruption,SSD
Desktop,23,3,16,Business,Random Shutdown,No Power,Power Fluctuation,PSU
Desktop,42,2,36,Student,Random Restart,Memory Warning,System Freeze,RAM
Mobile,29,3,25,Office,Flickering Screen,Lines On Screen,Touch OK,Display
Mobile,39,7,33,Student,No Sound,Calls OK,Headphones Work,Speaker
Mobile,64,12,62,Normal,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Laptop,66,2,60,Student,Slow Startup,Disk Errors,File Corruption,SSD
Laptop,40,9,38,Developer,Portable Use Failure,Battery Low,Charger OK,Battery
Mobile,82,4,75,Developer,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Mobile,26,5,20,Student,Flickering Screen,Lines On Screen,Touch OK,Display
Desktop,19,9,16,Business,USB Failure,Random Freeze,No POST,Motherboard
Laptop,15,8,15,Gaming,Storage Not Detected,Boot Failure,BIOS Error,SSD
Desktop,33,12,28,Developer,Slow Startup,Disk Errors,Storage Not Detected,SSD
Mobile,48,16,48,Student,No Sound,Calls OK,Headphones Work,Speaker
Laptop,16,10,13,Office,Lines On Screen,Display Lag,Power ON,Display
Desktop,82,1,77,Student,Random Restart,Memory Warning,System Freeze,RAM
Mobile,18,12,12,Normal,Not Charging,Cable OK,Battery OK,Charging IC
Mobile,74,13,69,Normal,No Display,Touch Working,Notifications Audible,Display
Desktop,33,1,27,Business,No Display,Artifacts,System Running,GPU
Laptop,33,5,32,Normal,Boot Loop,Memory Error,Beep Code,RAM
Desktop,65,1,63,Business,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Laptop,58,5,56,Office,Rapid Discharge,Heating,Low Backup,Battery
Mobile,19,12,13,Office,No Charge,Adapter OK,Battery Healthy,Charging IC
Mobile,54,10,52,Developer,Fast Battery Drain,Heating,Random Shutdown,Battery
Desktop,83,11,80,Normal,Long Loading Time,Disk Health Alert,Lagging,SSD
Desktop,62,10,55,Business,Random Shutdown,No Power,Power Fluctuation,PSU
Desktop,51,11,44,Gaming,Restart Issues,Power Failure,No Boot,PSU
Laptop,16,12,13,Business,Battery Drain,Low Backup,Not Charging,Battery
Laptop,19,16,17,Business,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Laptop,59,1,59,Student,Random Crashes,Blue Screen,Memory Warning,RAM
Desktop,63,6,59,Normal,Random Shutdown,No Power,Power Fluctuation,PSU
Desktop,44,11,43,Developer,No Display,Artifacts,System Running,GPU
Desktop,13,16,5,Normal,Slow Startup,Disk Errors,Storage Not Detected,SSD
Mobile,56,2,53,Normal,Crackling Sound,Media Playback Issue,Calls OK,Speaker
Mobile,72,10,70,Office,Voice Not Reaching,Calls Connected,Speaker OK,Microphone
Desktop,21,13,19,Gaming,Random Restart,Memory Warning,System Freeze,RAM
Mobile,77,14,75,Gaming,Flickering Screen,Lines On Screen,Touch OK,Display
Mobile,80,15,75,Office,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Mobile,23,11,16,Business,Not Charging,Adapter OK,Cable OK,Charging Port
Desktop,59,14,51,Business,Game Crashes,Visual Glitches,High GPU Temp,GPU
Mobile,11,15,5,Gaming,Not Charging,Adapter OK,Cable OK,Charging Port
Desktop,38,13,32,Gaming,System Off Suddenly,Burn Smell,Power Loss,PSU
Mobile,11,6,8,Normal,Charging Failure,Heating,Random Restart,Charging IC
Desktop,63,1,55,Developer,No POST,Power LED ON,No Boot,Motherboard
Desktop,34,11,27,Gaming,POST Failure,Beep Sound,Power ON,RAM
Laptop,25,12,23,Gaming,No Boot,Beep Sound,Power LED ON,RAM
Mobile,18,15,13,Student,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Mobile,12,1,7,Student,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Laptop,66,6,60,Student,Random Crashes,Blue Screen,Memory Warning,RAM
Desktop,36,2,35,Office,File Corruption,Boot Failure,Disk Warning,SSD
Laptop,15,13,14,Student,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Mobile,15,8,10,Gaming,Charging Failure,Heating,Random Restart,Charging IC
Laptop,71,13,64,Developer,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Desktop,6,5,1,Developer,Thermal Warning,Loud Noise,Heating,CPU Fan
Desktop,42,11,42,Gaming,No Display,Artifacts,System Running,GPU
Laptop,17,4,12,Office,Rapid Discharge,Heating,Low Backup,Battery
Laptop,77,4,77,Business,No Boot,Beep Sound,Power LED ON,RAM
Mobile,20,13,17,Business,No Charge,Adapter OK,Battery Healthy,Charging IC
Laptop,9,8,8,Gaming,Loose Adapter,Intermittent Charging,Battery OK,Charger
Laptop,39,12,35,Office,Battery Drain,Low Backup,Not Charging,Battery
Laptop,28,4,24,Business,No Boot,Beep Sound,Power LED ON,RAM
Desktop,40,12,40,Business,No POST,Power LED ON,No Boot,Motherboard
Desktop,10,4,3,Gaming,No Boot,Beep Code,Memory Error,RAM
Laptop,34,10,27,Normal,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Mobile,53,9,47,Business,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Mobile,78,2,76,Normal,Not Charging,Cable OK,Battery OK,Charging IC
Desktop,45,15,42,Business,System Off Suddenly,Burn Smell,Power Loss,PSU
Laptop,25,12,24,Normal,Boot Loop,Memory Error,Beep Code,RAM
Desktop,70,5,69,Business,No Boot,Beep Code,Memory Error,RAM
Desktop,68,16,65,Normal,No Display,Artifacts,System Running,GPU
Mobile,74,9,74,Normal,Voice Not Reaching,Calls Connected,Speaker OK,Microphone
Mobile,28,8,28,Student,Charging Failure,Heating,Random Restart,Charging IC
Desktop,18,3,17,Gaming,Random Restart,Memory Warning,System Freeze,RAM
Laptop,12,7,11,Developer,No Display,External Monitor Works,Power ON,Display
Laptop,66,16,58,Office,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Desktop,83,1,81,Student,Thermal Warning,Loud Noise,Heating,CPU Fan
Laptop,44,5,42,Developer,Boot Loop,Memory Error,Beep Code,RAM
Desktop,75,16,72,Gaming,Restart Issues,Power Failure,No Boot,PSU
Desktop,7,2,5,Office,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Desktop,9,1,8,Normal,Random Shutdown,No Power,Power Fluctuation,PSU
Desktop,80,2,80,Gaming,System Off Suddenly,Burn Smell,Power Loss,PSU
Mobile,29,3,25,Student,Poor Backup,Battery Swelling,Heating,Battery
Mobile,81,15,75,Business,Distorted Audio,Low Volume,Calls OK,Speaker
Desktop,69,13,63,Normal,System Off Suddenly,Burn Smell,Power Loss,PSU
Mobile,20,4,19,Business,Fast Battery Drain,Heating,Random Shutdown,Battery
Laptop,19,14,14,Developer,Battery Drain,Low Backup,Not Charging,Battery
Mobile,70,1,70,Student,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Laptop,46,2,41,Office,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Mobile,24,15,22,Normal,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Mobile,29,2,22,Developer,Poor Backup,Battery Swelling,Heating,Battery
Laptop,73,4,73,Student,Loose Adapter,Intermittent Charging,Battery OK,Charger
Mobile,80,14,74,Normal,Battery Drops Quickly,Overheating,Lagging,Battery
Mobile,29,11,28,Developer,Battery Drops Quickly,Overheating,Lagging,Battery
Mobile,65,14,63,Normal,Distorted Audio,Low Volume,Calls OK,Speaker
Laptop,31,6,23,Developer,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Mobile,79,7,75,Student,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Mobile,35,12,28,Gaming,Battery Drops Quickly,Overheating,Lagging,Battery
Mobile,14,5,11,Office,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Laptop,32,9,32,Developer,No Boot,Beep Sound,Power LED ON,RAM
Laptop,53,6,52,Developer,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Mobile,43,9,39,Developer,No Display,Touch Working,Notifications Audible,Display
Mobile,69,15,67,Developer,Distorted Audio,Low Volume,Calls OK,Speaker
Mobile,37,12,31,Developer,No Charge,Adapter OK,Battery Healthy,Charging IC
Desktop,33,11,25,Business,File Corruption,Boot Failure,Disk Warning,SSD
Laptop,12,3,7,Business,Rapid Discharge,Heating,Low Backup,Battery
Desktop,48,3,42,Developer,System Off Suddenly,Burn Smell,Power Loss,PSU
Mobile,9,14,1,Normal,Not Charging,Adapter OK,Cable OK,Charging Port
Desktop,50,3,48,Office,POST Failure,Beep Sound,Power ON,RAM
Mobile,8,11,1,Developer,No Charge,Adapter OK,Battery Healthy,Charging IC
Desktop,50,12,50,Student,No Boot,Beep Code,Memory Error,RAM
Desktop,58,14,55,Student,Peripheral Failure,Boot Error,Power ON,Motherboard
Laptop,29,14,29,Gaming,Boot Loop,Memory Error,Beep Code,RAM
Laptop,72,7,71,Developer,Loose Adapter,Intermittent Charging,Battery OK,Charger
Desktop,40,6,35,Office,Peripheral Failure,Boot Error,Power ON,Motherboard
Mobile,83,16,83,Office,Voice Not Reaching,Calls Connected,Speaker OK,Microphone
Mobile,82,3,79,Developer,No Display,Touch Working,Notifications Audible,Display
Laptop,38,10,36,Office,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Laptop,70,16,68,Normal,Lines On Screen,Display Lag,Power ON,Display
Desktop,46,3,39,Developer,Random Shutdown,No Power,Power Fluctuation,PSU
Laptop,58,12,56,Normal,Rapid Discharge,Heating,Low Backup,Battery
Laptop,44,14,41,Developer,Portable Use Failure,Battery Low,Charger OK,Battery
Mobile,26,15,20,Business,Poor Backup,Battery Swelling,Heating,Battery
Desktop,64,9,62,Normal,Random Restart,Memory Warning,System Freeze,RAM
Mobile,12,5,5,Business,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Desktop,21,4,21,Office,Random Shutdown,No Power,Power Fluctuation,PSU
Desktop,59,5,56,Business,Peripheral Failure,Boot Error,Power ON,Motherboard
Mobile,46,5,42,Developer,Distorted Audio,Low Volume,Calls OK,Speaker
Desktop,54,16,47,Business,No Display,Artifacts,System Running,GPU
Mobile,23,14,16,Developer,No Display,Touch Working,Notifications Audible,Display
Laptop,82,11,76,Developer,No Charge,Battery OK,Power Adapter Error,Charger
Mobile,42,15,39,Developer,Not Charging,Adapter OK,Cable OK,Charging Port
Desktop,51,8,51,Business,Random Restart,Memory Warning,System Freeze,RAM
Mobile,72,10,67,Student,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Laptop,77,4,75,Normal,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Desktop,66,15,63,Normal,Long Loading Time,Disk Health Alert,Lagging,SSD
Laptop,69,2,64,Student,Storage Not Detected,Boot Failure,BIOS Error,SSD
Mobile,31,1,27,Developer,No Charge,Adapter OK,Battery Healthy,Charging IC
Desktop,7,4,1,Gaming,Random Shutdown,No Power,Power Fluctuation,PSU
Mobile,73,8,65,Developer,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Mobile,10,6,9,Developer,Black Screen,Phone Vibrates,Calls Received,Display
Laptop,70,3,63,Gaming,Application Lag,Disk Warning,Slow Performance,SSD
Mobile,58,14,54,Normal,Not Charging,Cable OK,Battery OK,Charging IC
Mobile,34,1,33,Office,Black Screen,Phone Vibrates,Calls Received,Display
Laptop,22,10,17,Gaming,Slow Startup,Disk Errors,File Corruption,SSD
Mobile,61,8,56,Normal,Battery Drops Quickly,Overheating,Lagging,Battery
Desktop,19,1,15,Normal,System Off Suddenly,Burn Smell,Power Loss,PSU
Desktop,62,2,61,Student,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Desktop,33,2,31,Office,Long Loading Time,Disk Health Alert,Lagging,SSD
Desktop,7,12,1,Office,Peripheral Failure,Boot Error,Power ON,Motherboard
Laptop,21,15,17,Student,Lines On Screen,Display Lag,Power ON,Display
Laptop,59,3,51,Business,Loose Adapter,Intermittent Charging,Battery OK,Charger
Laptop,29,7,23,Developer,Application Lag,Disk Warning,Slow Performance,SSD
Laptop,84,10,78,Normal,No Boot,Beep Sound,Power LED ON,RAM
Mobile,7,4,2,Gaming,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
