Device,Brand,Model,OS,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Season,RAM_GB,Storage_GB,Battery_%_At_Failure,Warranty_Status,Previous_Repairs,Symptom1,Symptom2,Symptom3,Faulty_Component,Severity,Repair_Cost_INR,Repair_Time_Days,Solution
Laptop,Lenovo,ThinkPad X1 Carbon Gen 11,Linux Mint,72,9,64,Office,Spring,32,256,59,Expired,4,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,515,1,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Printer,Samsung,Xpress C1860FW,Windows 11,27,9,19,Gaming,Autumn,0,0,0,Under Warranty,4,Light Print,Toner Low Warning,Streaks On Print,Toner Cartridge,Low,2848,1,Shake toner cartridge gently. Replace if empty.
Desktop,Apple,Mac Studio M2 Ultra,Windows 11 Home,63,1,60,Content Creator,Summer,64,256,0,Extended Warranty,2,POST Failure,Beep Sound,Random Blue Screen,RAM,High,3406,2,Reseat RAM. Test each stick individually. Replace faulty module.
Mobile,OnePlus,12R,Android 14,6,1,3,Business,Spring,6,1024,53,Under Warranty,1,Flickering Screen,Lines On Screen,Touch OK,Display,High,9544,1,Replace AMOLED display panel. Use original parts for best quality.
Mobile,Samsung,Galaxy F54,Android 12,26,14,9,Office,Monsoon,6,64,76,Expired,4,No Sound,Calls OK,Headphones Work,Speaker,Medium,1137,2,"Clean speaker grille. If no improvement, replace speaker unit."
Mobile,OnePlus,10 Pro,iOS 17,20,12,9,Content Creator,Autumn,16,128,26,Expired,4,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,2907,2,Replace Charging IC chip — requires motherboard-level repair.
Mobile,Realme,11 Pro+,Android 13,68,4,55,Normal,Spring,8,512,56,Under Warranty,2,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,628,1,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Mobile,Motorola,Edge 50 Pro,Android 13,39,13,21,Normal,Autumn,12,64,48,Under Warranty,0,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,1825,1,Clean speaker. Update audio drivers. Replace if faulty.
Mobile,Samsung,Galaxy Z Fold 5,iOS 15,51,12,49,Content Creator,Summer,12,512,56,Under Warranty,4,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,2941,1,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Router,Asus,ROG Rapture GT-BE98,Stock Firmware,14,11,4,Education,Spring,0,0,0,Expired,3,Router Hanging,Settings Reset,Cannot Access Admin Panel,Firmware,Medium,123,1,Update to latest firmware. Factory reset if issues persist. Reconfigure settings.
Mobile,Xiaomi,Redmi Note 12,Android 13,20,8,12,Office,Monsoon,4,1024,94,Extended Warranty,3,Bluetooth Not Connecting,Drops Connection,Cannot Pair,Bluetooth Module,Low,2016,5,Toggle Bluetooth off/on. Clear paired devices. Factory reset if issue persists.
Printer,Epson,WorkForce WF-7820,macOS Sonoma,14,8,1,Normal,Autumn,0,0,0,Extended Warranty,0,No Print Output,Blank Pages,Horizontal Lines On Print,Printhead,High,1467,1,"Run automated printhead cleaning. If issue persists, replace printhead."
Mobile,OnePlus,11R,Android 13,76,8,58,Healthcare,Monsoon,4,256,57,Expired,0,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,2357,5,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Printer,Epson,WorkForce WF-7820,macOS Sonoma,75,11,69,Education,Spring,0,0,0,Under Warranty,3,Faded Print,Streaky Output,Color Missing,Ink Cartridge,Low,386,1,Replace or refill ink cartridges. Run printhead cleaning cycle.
Mobile,OnePlus,11R,iOS 15,23,2,10,Student,Summer,4,64,19,Expired,3,Cracked Screen,Touch Not Working,Display Broken,Display,High,13925,1,Replace display + digitizer assembly.
Laptop,Lenovo,IdeaPad Gaming 3,Linux Mint,16,13,7,Normal,Spring,64,1024,76,Extended Warranty,2,Cursor Jumping,Touchpad Not Responding,Click Not Working,Touchpad,Low,2059,3,Update touchpad drivers. Adjust sensitivity. Replace touchpad if hardware fault.
Mobile,Realme,11 Pro,Android 14,81,13,75,Developer,Winter,16,1024,5,Under Warranty,1,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,2672,3,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Mobile,Samsung,Galaxy S24,iOS 16,39,7,38,Developer,Autumn,6,64,94,Under Warranty,4,Loose Connection,Intermittent Charging,Cable Moves Loosely,Charging Port,Medium,1480,1,"Clean charging port with compressed air. If issue persists, replace port."
Laptop,HP,Omen 16,Windows 11 Home,74,1,67,Business,Autumn,32,512,61,Extended Warranty,0,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,2235,3,Update camera drivers. Check privacy shutter. Replace webcam module.
Tablet,Xiaomi,Pad 6 Pro,Android 14,38,8,24,Education,Spring,12,32,76,Extended Warranty,4,Dead Pixels,Yellow Tint,Backlight Bleeding,Display,Medium,10682,5,Replace display panel. Check under warranty first.
Desktop,Lenovo,IdeaCentre 5i,Windows 10 Pro,46,2,38,Student,Winter,32,2048,0,Under Warranty,1,Game Crashes,Visual Glitches,High GPU Temp,GPU,High,16395,4,Clean GPU fan. Repaste GPU. Update drivers. Replace GPU if artifacts persist.
Tablet,Xiaomi,Pad 6,Android 13,38,13,25,Student,Winter,8,64,57,Expired,2,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,1581,1,Recalibrate Touch ID. Replace home button assembly.
Desktop,Lenovo,ThinkStation P360,Ubuntu 22.04,38,2,30,Healthcare,Monsoon,8,4096,0,Extended Warranty,2,Game Crashes,Visual Glitches,High GPU Temp,GPU,High,19002,7,Clean GPU fan. Repaste GPU. Update drivers. Replace GPU if artifacts persist.
Printer,HP,ENVY 6055e,macOS Sonoma,6,11,1,Student,Spring,0,0,0,Under Warranty,4,Spots On Print,Ghost Images,Dark Patches On Pages,Drum Unit,High,2719,1,Replace drum unit. Clean corona wire if accessible.
Smartwatch,OnePlus,Watch 2,RTOS,1,6,1,Business,Winter,2,4,18,Extended Warranty,1,No Haptic Feedback,Weak Vibration,Notification Not Felt,Vibration Motor,Low,1404,3,Check haptic settings. Replace vibration motor module.
Mobile,Google,Pixel 7 Pro,Android 14,5,6,4,Developer,Monsoon,6,1024,67,Extended Warranty,1,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,2200,3,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Mobile,Xiaomi,POCO F5 Pro,iOS 15,17,8,15,Gaming,Autumn,16,256,63,Expired,2,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,7541,4,Clear app data. Factory reset. Replace camera if hardware issue.
Laptop,Dell,XPS 13 9340,Windows 11 Home,38,13,21,Developer,Summer,32,1024,21,Under Warranty,0,Poor Backup,Battery Swelling,Heating,Battery,Medium,5791,3,Replace laptop battery. Use only manufacturer-approved battery.
Mobile,Vivo,T2 Pro,Android 12,59,9,55,Developer,Monsoon,6,64,45,Extended Warranty,0,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,3910,2,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Mobile,Vivo,V29,Android 13,78,9,68,Office,Winter,12,256,7,Under Warranty,4,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,2399,2,"Try original charger. If issue persists, replace Charging IC."
Tablet,Realme,Pad 2,Android 14,32,10,24,Healthcare,Summer,8,1024,84,Expired,0,Fast Drain,Not Charging,Random Shutdown,Battery,High,3356,4,Replace tablet battery at authorized service center.
Desktop,Apple,Mac Studio M2 Ultra,Windows 10 Pro,76,3,69,Developer,Spring,64,512,0,Extended Warranty,4,No Boot,USB Not Working,Random Restart,Motherboard,Critical,5123,6,Check all connections. Replace CMOS battery. Motherboard may need replacement.
Mobile,Samsung,Galaxy S22,iOS 15,28,6,13,Normal,Monsoon,12,256,29,Under Warranty,2,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,579,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Mobile,Apple,iPhone 15 Pro,Android 14,30,12,14,Normal,Monsoon,12,64,65,Expired,4,No Sound,Calls OK,Headphones Work,Speaker,Medium,1142,2,"Clean speaker grille. If no improvement, replace speaker unit."
Laptop,MSI,Katana 15,Windows 11 Pro,26,3,20,Healthcare,Summer,8,512,79,Extended Warranty,0,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,3949,1,Try different power outlet. Replace charger/adapter. Check charging port.
Printer,Samsung,Xpress M2020W,Windows 11,49,8,41,Business,Monsoon,0,0,0,Extended Warranty,2,Paper Jam,Paper Not Feeding,Multiple Pages Feed,Paper Feed Roller,Medium,1936,2,Clean rollers with damp cloth. Replace feed rollers if worn out.
Desktop,HP,EliteDesk 800 G9,Windows 11 Home,79,13,62,Business,Summer,8,512,0,Under Warranty,1,Clicking Sound,Slow Performance,File Corruption,HDD,High,3923,3,Backup data immediately. Replace HDD. Run bad sector scan.
Mobile,Samsung,Galaxy A34,Android 14,15,12,13,Normal,Monsoon,16,256,24,Expired,2,Cracked Screen,Touch Not Working,Display Broken,Display,High,3659,3,Replace display + digitizer assembly.
Mobile,Apple,iPhone 15,iOS 15,42,11,40,Student,Monsoon,6,256,75,Extended Warranty,1,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,2500,3,"Try original charger. If issue persists, replace Charging IC."
Mobile,Samsung,Galaxy A54,Android 13,41,16,26,Office,Autumn,6,256,41,Expired,1,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,1710,4,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Mobile,Samsung,Galaxy Z Flip 5,iOS 15,42,7,25,Gaming,Autumn,12,128,82,Expired,4,Green Tint,Dead Pixels,Burn In,Display,Medium,14603,2,Replace display panel. Burn-in not covered under warranty.
Tablet,Asus,ROG Flow Z13,iPadOS 17,10,13,8,Developer,Spring,16,64,66,Under Warranty,4,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,1013,3,Recalibrate Touch ID. Replace home button assembly.
Mobile,Google,Pixel 7,Android 12,52,5,44,Business,Spring,6,1024,13,Expired,4,Flickering Screen,Lines On Screen,Touch OK,Display,High,8056,1,Replace AMOLED display panel. Use original parts for best quality.
Mobile,Google,Pixel 6 Pro,Android 13,52,4,42,Student,Winter,16,512,33,Expired,0,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,7200,4,Clear app data. Factory reset. Replace camera if hardware issue.
Mobile,Apple,iPhone 14 Pro Max,Android 13,16,16,12,Healthcare,Winter,6,1024,72,Under Warranty,3,Green Tint,Dead Pixels,Burn In,Display,Medium,12018,1,Replace display panel. Burn-in not covered under warranty.
Mobile,Google,Pixel 8 Pro,iOS 16,60,4,43,Education,Spring,4,256,75,Extended Warranty,2,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,3764,1,"Recalibrate battery. If issue persists, replace battery."
Printer,HP,DeskJet 2755e,Windows 11,28,8,14,Content Creator,Spring,0,0,0,Under Warranty,0,Smudged Print,Toner Not Sticking,Burning Smell From Printer,Fuser Unit,High,6448,5,Allow printer to cool. Replace fuser unit. Only for laser printers.
Desktop,Apple,Mac Pro M2 Ultra,Windows 11 Home,20,4,19,Office,Spring,64,4096,0,Expired,1,Date Reset On Boot,BIOS Settings Lost,Boot Error,CMOS Battery,Low,80,1,Replace CMOS battery (CR2032). Reconfigure BIOS settings.
Smart TV,Hisense,A7H,Tizen 7.0,9,7,1,Content Creator,Monsoon,4,32,0,Under Warranty,1,Half Screen Dark,Horizontal Lines,Color Issues,T-Con Board,High,5960,3,Replace T-Con board. Experienced technician required.
Mobile,Google,Pixel 6 Pro,Android 12,48,15,33,Student,Winter,6,512,19,Under Warranty,3,No Sound,Calls OK,Headphones Work,Speaker,Medium,1872,2,"Clean speaker grille. If no improvement, replace speaker unit."
Desktop,Lenovo,ThinkCentre Neo 50s,Ubuntu 22.04,6,9,1,Student,Spring,32,256,0,Extended Warranty,4,No Internet,LAN Not Detected,Slow Network,Network Card,Medium,1432,1,Update NIC drivers. Replace network card if faulty.
Laptop,MSI,Titan GT77 HX,macOS Sonoma,9,7,8,Healthcare,Autumn,32,2048,72,Under Warranty,2,Hinge Broken,Lid Not Closing,Hinge Cracking,Hinge,Medium,4655,3,Replace laptop hinge. Physical repair at service center.
Smart TV,LG,NanoCell NANO75,Android TV 11,9,5,2,Office,Winter,3,16,0,Under Warranty,3,No Sound,Distorted Audio,One Speaker Dead,Speaker,Medium,1607,1,Check audio settings. Update firmware. Replace internal speakers.
Desktop,Apple,Mac Mini M2,Fedora 38,24,8,22,Education,Spring,64,512,0,Under Warranty,1,PC Not Starting,Power Button Stuck,Intermittent Power,Power Button,Low,277,1,Check front panel connectors. Replace power button if faulty.
Mobile,OnePlus,10 Pro,Android 14,6,1,2,Education,Summer,8,512,27,Expired,3,Voice Breaks,Recorder Not Working,Calls Connected,Microphone,Medium,655,1,Clean microphone. Replace microphone module if issue persists.
Desktop,Apple,Mac Mini M2,Ubuntu 22.04,41,7,27,Content Creator,Summer,32,512,0,Extended Warranty,1,Game Crashes,Visual Glitches,High GPU Temp,GPU,High,19047,6,Clean GPU fan. Repaste GPU. Update drivers. Replace GPU if artifacts persist.
